id,date,channel,customer_type,primary_type,secondary_aspects,multi_question,urgency,content_summary,rationale
019,2026-05-20,채널톡,2차 협력사,불만,기능요청(GWP 자동갱신),N,,Scope1 GWP 미반영 계산 오류,'틀린 것 같다+수정' 결함 → 불만
020,2026-05-21,이메일,1차 협력사,기능 요청,,N,,탄소 감축 로드맵 컨설팅 요청,'서비스 추가해달라' → 기능요청
021,2026-05-22,이메일,기타,칭찬,,N,,CS 신속 이슈 해결 칭찬,긍정 → 칭찬
022,2026-05-23,채널톡,기타,기능 요청,,N,,TCFD·CSRD 이중보고 통합 요청,'기능 추가해주세요' → 기능요청
023,2026-05-24,이메일,1차 협력사,기능 요청,,N,,CBAM 협력사 공문 템플릿 요청,'템플릿 제공' 요청 → 기능요청
024,2026-05-25,이메일,기타,칭찬,,N,,집계 오류 감소·보고서 품질 향상,긍정(정확도 개선 체감) → 칭찬
025,2026-05-26,채널톡,OEM,일반 문의,,Y,,CBAM 내재량 제출 형식·양식 문의,질문 2개(형식/표준양식) → 다중질문
026,2026-05-27,이메일,기타,불만,,N,높음,API·ERP 연동 반복 끊김,결함(연동 끊김) → 불만; 긴급
027,2026-05-28,채널톡,1차 협력사,불만,기능요청(ISO14064 양식 호환),N,,ISO14064 데이터 내보내기 오류,결함(내보내기 안됨) → 불만
028,2026-05-29,이메일,기타,칭찬,,N,,탄소중립 로드맵 실무 활용 칭찬,긍정 → 칭찬
029,2026-05-30,이메일,OEM,기능 요청,,N,,연도별 배출량 비교 차트 요청,'차트 있으면 좋겠다' 기능 니즈 → 기능요청
030,2026-05-31,채널톡,기타,일반 문의,불만(해석 혼란),N,,CSRD 감사법인 해석차 공식입장 문의,명시 요청='공식 입장' → 문의; 혼란 secondary
032,2026-06-01,(결측),1차 협력사,일반 문의,,N,,CBAM 담당자 권한이전 절차 문의,절차 질문 → 문의; 채널 결측 유지
033,2026-06-02,채널톡,기타,일반 문의,불만(정확도 불신),N,,Scope3 경쟁사 30% 차이 로직 문의,명시 요청='로직 설명/공개' → 문의; 불신 secondary
034,2026-06-03,이메일,2차 협력사,칭찬,,N,,공급망 자동화 업무 50% 단축 만족,긍정(ROI) → 칭찬
035,2026-06-04,(결측),기타,기능 요청,,N,,탄소크레딧·Scope3 구분표시 요청,'기능 있으면 좋겠다' → 기능요청; 채널 결측
036,2026-06-05,이메일,기타,일반 문의,,N,,CBAM 공공조달 탄소비용 영향 문의,영향 여부 질문 → 문의
037,2026-06-06,채널톡,1차 협력사,기능 요청,,N,,분기별 보고서 자동생성 요청,'기능 추가해주세요' → 기능요청
038,2026-06-07,이메일,기타,불만,기능요청(모바일 앱),N,,모바일 앱 부재 불편,요청 동사 없이 불편 호소 → 불만; 앱 니즈 secondary
039,2026-05-09,이메일,2차 협력사,칭찬,,N,,탄소배출 15% 감소·분석 기여 감사,감사 → 칭찬
040,2026-06-09,이메일,기타,일반 문의,,Y,,녹색채권 검증요건·ICMA 연계 문의,질문 2개(검증요건/ICMA 연계) → 다중질문
041,2026-06-10,채널톡,OEM,일반 문의,,N,,CBAM 인증서 ETS 단가 추산 문의,추산 방법 질문 → 문의
042,2026-06-11,이메일,기타,일반 문의,,N,,SBTi 시나리오 분석 가능여부 문의,현재 가능여부 질문 → 문의
043,2026-06-12,이메일,1차 협력사,기능 요청,불만(커스터마이징 한계),N,,보고서 커스터마이징 개선 요청,명시 CTA '기능 개선 요청' → 기능요청; 한계지적 secondary
044,2026-06-13,채널톡,기타,일반 문의,,N,,국내외 탄소크레딧 인정범위 문의,인정범위 질문 → 문의
045,2026-06-14,이메일,OEM,일반 문의,,N,높음,CBAM 마감초과 연장·세관문의 방법,명시 요청='연장 여부/문의 방법' → 문의; 긴급도 별도
