id,date,channel,customer_type,content,keyword_hint
035,2026-06-04,,기타,탄소 크레딧 구매와 실제 Scope 3 감축 효과를 구분해서 리포트에 표시하는 기능이 있으면 좋겠습니다.,"탄소크레딧, Scope3"
036,2026-06-05,이메일,기타,CBAM 시행으로 인해 공공기관 구매 물품에도 탄소비용이 전가되는 건가요? 조달 정책에 어떻게 영향이 있는지 알고 싶습니다.,"CBAM, 조달, 공공"
037,2026-06-06,채널톡,1차 협력사,분기별 탄소 보고서 자동 생성 기능을 추가해주세요. 현재는 매분기 수동으로 정리해야 해서 번거롭습니다.,"보고서자동화, 분기"
038,2026/06/07,이메일,기타,카본링크 모바일 앱이 없어서 불편합니다. 출장 중에 데이터 확인이 안 됩니다.,"모바일, UI"
039,5월 9일,이메일,2차 협력사,지난 분기 대비 탄소배출량이 15% 감소했습니다. 카본링크 분석 리포트 덕분에 어디서 줄일 수 있는지 파악이 됐어요. 감사합니다.,"탄소감축, 분석리포트"
040,2026-06-09,이메일,기타,녹색채권(Green Bond) 발행 시 탄소 데이터 검증 요건이 어떻게 되나요? ICMA 원칙과 카본링크 데이터가 연계 가능한가요?,"녹색채권, ICMA, 검증"
041,2026-06-10,채널톡,OEM,CBAM 인증서 단가가 EU ETS 탄소 가격에 연동된다고 하는데 현재 예상 단가를 어떻게 추산하면 되나요?,"CBAM, ETS, 탄소가격"
042,2026/06/11,이메일,기타,글로벌 고객사에서 SBTi(과학기반감축목표) 기준으로 감축 목표 설정을 요구했습니다. 카본링크에서 SBTi 시나리오 분석이 가능한가요?,"SBTi, 감축목표"
043,2026-06-12,이메일,1차 협력사,플랫폼 보고서 커스터마이징 기능이 너무 제한적입니다. 우리 회사 형식에 맞게 보고서를 수정하고 싶은데 고정된 템플릿만 써야 합니다. 기능 개선 요청드립니다.,"보고서, 커스터마이징"
044,2026-06-13,채널톡,기타,탄소배출권 시장에서 외부 감축 크레딧을 구매할 때 국내 크레딧과 해외 크레딧의 인정 범위가 다른가요?,"탄소배출권, 크레딧"
045,2026-06-14,이메일,OEM,CBAM 신고 마감일이 지났는데 연장 신청이 가능한지 EU 세관에 문의하는 방법을 모르겠습니다. 수출 계약이 위험합니다. 긴급 대응이 필요합니다.,"CBAM, 신고마감, 긴급"
